surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Husary,1,0,480,480,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,1,Husary,2,600,1000,400,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,1,Husary,3,1800,2160,360,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,1,Husary,4,2480,5160,2680,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,2,Husary,1,800,1240,440,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,2,Husary,2,1570,1670,100,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,2,Husary,3,2530,2630,100,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,2,Husary,4,2800,6240,3440,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,3,Husary,1,800,1200,400,https://audio-cdn.tarteel.ai/quran/husary/001003.mp3
1,Al-Fatiha,3,Husary,2,1520,4480,2960,https://audio-cdn.tarteel.ai/quran/husary/001003.mp3
1,Al-Fatiha,4,Husary,1,0,720,720,https://audio-cdn.tarteel.ai/quran/husary/001004.mp3
1,Al-Fatiha,4,Husary,2,920,1440,520,https://audio-cdn.tarteel.ai/quran/husary/001004.mp3
1,Al-Fatiha,4,Husary,3,1840,4600,2760,https://audio-cdn.tarteel.ai/quran/husary/001004.mp3
1,Al-Fatiha,5,Husary,1,0,1000,1000,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,5,Husary,2,1200,2000,800,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,5,Husary,3,2080,3160,1080,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,5,Husary,4,3400,6800,3400,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,6,Husary,1,0,680,680,https://audio-cdn.tarteel.ai/quran/husary/001006.mp3
1,Al-Fatiha,6,Husary,2,1000,1640,640,https://audio-cdn.tarteel.ai/quran/husary/001006.mp3
1,Al-Fatiha,6,Husary,3,2040,5320,3280,https://audio-cdn.tarteel.ai/quran/husary/001006.mp3
1,Al-Fatiha,7,Husary,1,0,960,960,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,2,1240,1640,400,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,3,2000,2840,840,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,4,3320,3720,400,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,5,4000,4120,120,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,6,5040,6000,960,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,7,6440,6880,440,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,8,7170,7270,100,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,9,7720,14920,7200,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
82,Al-Infitar,1,Husary,1,0,840,840,https://audio-cdn.tarteel.ai/quran/husary/082001.mp3
82,Al-Infitar,1,Husary,2,1320,3760,2440,https://audio-cdn.tarteel.ai/quran/husary/082001.mp3
82,Al-Infitar,1,Husary,3,4120,7360,3240,https://audio-cdn.tarteel.ai/quran/husary/082001.mp3
82,Al-Infitar,2,Husary,1,0,840,840,https://audio-cdn.tarteel.ai/quran/husary/082002.mp3
82,Al-Infitar,2,Husary,2,1080,2880,1800,https://audio-cdn.tarteel.ai/quran/husary/082002.mp3
82,Al-Infitar,2,Husary,3,3200,6400,3200,https://audio-cdn.tarteel.ai/quran/husary/082002.mp3
82,Al-Infitar,3,Husary,1,0,960,960,https://audio-cdn.tarteel.ai/quran/husary/082003.mp3
82,Al-Infitar,3,Husary,2,1200,2480,1280,https://audio-cdn.tarteel.ai/quran/husary/082003.mp3
82,Al-Infitar,3,Husary,3,2760,5720,2960,https://audio-cdn.tarteel.ai/quran/husary/082003.mp3
82,Al-Infitar,4,Husary,1,0,760,760,https://audio-cdn.tarteel.ai/quran/husary/082004.mp3
82,Al-Infitar,4,Husary,2,1280,2320,1040,https://audio-cdn.tarteel.ai/quran/husary/082004.mp3
82,Al-Infitar,4,Husary,3,2520,5360,2840,https://audio-cdn.tarteel.ai/quran/husary/082004.mp3
82,Al-Infitar,5,Husary,1,0,1240,1240,https://audio-cdn.tarteel.ai/quran/husary/082005.mp3
82,Al-Infitar,5,Husary,2,2120,2320,200,https://audio-cdn.tarteel.ai/quran/husary/082005.mp3
82,Al-Infitar,5,Husary,3,3090,3190,100,https://audio-cdn.tarteel.ai/quran/husary/082005.mp3
82,Al-Infitar,5,Husary,4,3840,5440,1600,https://audio-cdn.tarteel.ai/quran/husary/082005.mp3
82,Al-Infitar,5,Husary,5,5720,8640,2920,https://audio-cdn.tarteel.ai/quran/husary/082005.mp3
82,Al-Infitar,6,Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husary/082006.mp3
82,Al-Infitar,6,Husary,2,40,3000,2960,https://audio-cdn.tarteel.ai/quran/husary/082006.mp3
