surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Yasser Al-Dosari,1,0,720,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,1,Yasser Al-Dosari,2,920,1280,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,1,Yasser Al-Dosari,3,1920,2240,320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,1,Yasser Al-Dosari,4,2440,3400,960,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,1,200,560,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,2,730,830,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,3,1530,1630,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,4,1800,6160,4360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,3,Yasser Al-Dosari,1,880,1240,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001003.mp3
1,Al-Fatiha,3,Yasser Al-Dosari,2,1520,6840,5320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001003.mp3
1,Al-Fatiha,4,Yasser Al-Dosari,1,0,480,480,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001004.mp3
1,Al-Fatiha,4,Yasser Al-Dosari,2,640,1040,400,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001004.mp3
1,Al-Fatiha,4,Yasser Al-Dosari,3,1320,6240,4920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001004.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,1,0,520,520,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,2,680,1280,600,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,3,1320,2080,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,4,2240,6880,4640,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,6,Yasser Al-Dosari,1,0,560,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001006.mp3
1,Al-Fatiha,6,Yasser Al-Dosari,2,760,1320,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001006.mp3
1,Al-Fatiha,6,Yasser Al-Dosari,3,1600,2640,1040,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001006.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,1,0,560,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,2,760,1080,320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,3,1440,2160,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,4,2520,3000,480,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,5,4080,4200,120,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,6,4920,5680,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,7,6040,6400,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,8,6610,6710,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,9,7080,14880,7800,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
82,Al-Infitar,1,Yasser Al-Dosari,1,0,280,280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082001.mp3
82,Al-Infitar,1,Yasser Al-Dosari,2,520,2960,2440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082001.mp3
82,Al-Infitar,1,Yasser Al-Dosari,3,3280,5680,2400,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082001.mp3
82,Al-Infitar,2,Yasser Al-Dosari,1,0,560,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082002.mp3
82,Al-Infitar,2,Yasser Al-Dosari,2,680,1800,1120,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082002.mp3
82,Al-Infitar,2,Yasser Al-Dosari,3,2040,4120,2080,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082002.mp3
82,Al-Infitar,3,Yasser Al-Dosari,1,0,440,440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082003.mp3
82,Al-Infitar,3,Yasser Al-Dosari,2,560,1400,840,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082003.mp3
82,Al-Infitar,3,Yasser Al-Dosari,3,1520,2840,1320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082003.mp3
82,Al-Infitar,4,Yasser Al-Dosari,1,0,320,320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082004.mp3
82,Al-Infitar,4,Yasser Al-Dosari,2,560,1240,680,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082004.mp3
82,Al-Infitar,4,Yasser Al-Dosari,3,1320,2600,1280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082004.mp3
82,Al-Infitar,5,Yasser Al-Dosari,1,0,720,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082005.mp3
82,Al-Infitar,5,Yasser Al-Dosari,2,1200,1360,160,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082005.mp3
82,Al-Infitar,5,Yasser Al-Dosari,3,3450,3550,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082005.mp3
82,Al-Infitar,5,Yasser Al-Dosari,4,4080,5040,960,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082005.mp3
82,Al-Infitar,5,Yasser Al-Dosari,5,5200,6640,1440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082005.mp3
82,Al-Infitar,6,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,6,Yasser Al-Dosari,2,40,4240,4200,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,6,Yasser Al-Dosari,3,4600,6600,2000,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,6,Yasser Al-Dosari,4,6770,6870,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,6,Yasser Al-Dosari,5,7160,7920,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,6,Yasser Al-Dosari,6,8119,8959,840,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,6,Yasser Al-Dosari,7,9160,11920,2760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082006.mp3
82,Al-Infitar,7,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082007.mp3
82,Al-Infitar,7,Yasser Al-Dosari,2,840,1560,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082007.mp3
82,Al-Infitar,7,Yasser Al-Dosari,3,1760,2840,1080,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082007.mp3
82,Al-Infitar,7,Yasser Al-Dosari,4,3040,4400,1360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082007.mp3
82,Al-Infitar,8,Yasser Al-Dosari,1,0,90,90,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082008.mp3
82,Al-Infitar,8,Yasser Al-Dosari,2,1960,2120,160,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082008.mp3
82,Al-Infitar,8,Yasser Al-Dosari,3,2760,3560,800,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082008.mp3
82,Al-Infitar,8,Yasser Al-Dosari,4,3970,4070,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082008.mp3
82,Al-Infitar,8,Yasser Al-Dosari,5,4560,4800,240,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082008.mp3
82,Al-Infitar,8,Yasser Al-Dosari,6,6920,8320,1400,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082008.mp3
82,Al-Infitar,9,Yasser Al-Dosari,1,0,360,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082009.mp3
82,Al-Infitar,9,Yasser Al-Dosari,2,570,670,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082009.mp3
82,Al-Infitar,9,Yasser Al-Dosari,3,1320,2080,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082009.mp3
82,Al-Infitar,9,Yasser Al-Dosari,4,2560,5880,3320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082009.mp3
82,Al-Infitar,10,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082010.mp3
82,Al-Infitar,10,Yasser Al-Dosari,2,1760,2160,400,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082010.mp3
82,Al-Infitar,10,Yasser Al-Dosari,3,2520,6040,3520,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082010.mp3
82,Al-Infitar,11,Yasser Al-Dosari,1,0,640,640,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082011.mp3
82,Al-Infitar,11,Yasser Al-Dosari,2,1280,2880,1600,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082011.mp3
82,Al-Infitar,12,Yasser Al-Dosari,1,730,830,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082012.mp3
82,Al-Infitar,12,Yasser Al-Dosari,2,1210,1310,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082012.mp3
82,Al-Infitar,12,Yasser Al-Dosari,3,1600,4520,2920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082012.mp3
82,Al-Infitar,13,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082013.mp3
82,Al-Infitar,13,Yasser Al-Dosari,2,2000,3040,1040,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082013.mp3
82,Al-Infitar,13,Yasser Al-Dosari,3,3240,3480,240,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082013.mp3
82,Al-Infitar,13,Yasser Al-Dosari,4,3800,5680,1880,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082013.mp3
82,Al-Infitar,14,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082014.mp3
82,Al-Infitar,14,Yasser Al-Dosari,2,1120,2120,1000,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082014.mp3
82,Al-Infitar,14,Yasser Al-Dosari,3,2320,2600,280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/082014.mp3
