surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Abdul Basit Abdul Samad,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113001.mp3
113,Al-Falaq,1,Abdul Basit Abdul Samad,2,1080,1840,760,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113001.mp3
113,Al-Falaq,1,Abdul Basit Abdul Samad,3,1890,1990,100,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113001.mp3
113,Al-Falaq,1,Abdul Basit Abdul Samad,4,2960,4200,1240,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113001.mp3
113,Al-Falaq,2,Abdul Basit Abdul Samad,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113002.mp3
113,Al-Falaq,2,Abdul Basit Abdul Samad,2,1120,1800,680,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113002.mp3
113,Al-Falaq,2,Abdul Basit Abdul Samad,3,1970,2070,100,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113002.mp3
113,Al-Falaq,2,Abdul Basit Abdul Samad,4,2290,2390,100,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113002.mp3
113,Al-Falaq,3,Abdul Basit Abdul Samad,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113003.mp3
113,Al-Falaq,3,Abdul Basit Abdul Samad,2,1480,2160,680,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113003.mp3
113,Al-Falaq,3,Abdul Basit Abdul Samad,3,2360,3080,720,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113003.mp3
113,Al-Falaq,3,Abdul Basit Abdul Samad,4,3600,3760,160,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113003.mp3
113,Al-Falaq,3,Abdul Basit Abdul Samad,5,4000,5240,1240,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113003.mp3
113,Al-Falaq,4,Abdul Basit Abdul Samad,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113004.mp3
113,Al-Falaq,4,Abdul Basit Abdul Samad,2,1440,2160,720,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113004.mp3
113,Al-Falaq,4,Abdul Basit Abdul Samad,3,2840,4280,1440,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113004.mp3
113,Al-Falaq,4,Abdul Basit Abdul Samad,4,4490,4590,100,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113004.mp3
113,Al-Falaq,4,Abdul Basit Abdul Samad,5,4720,6160,1440,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113004.mp3
113,Al-Falaq,5,Abdul Basit Abdul Samad,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113005.mp3
113,Al-Falaq,5,Abdul Basit Abdul Samad,2,1480,2160,680,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113005.mp3
113,Al-Falaq,5,Abdul Basit Abdul Samad,3,2320,3080,760,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113005.mp3
113,Al-Falaq,5,Abdul Basit Abdul Samad,4,3560,3720,160,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113005.mp3
113,Al-Falaq,5,Abdul Basit Abdul Samad,5,3920,5160,1240,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113005.mp3
