surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Abdul Rahman Al Sudais,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113001.mp3
113,Al-Falaq,1,Abdul Rahman Al Sudais,2,560,1240,680,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113001.mp3
113,Al-Falaq,1,Abdul Rahman Al Sudais,3,1290,1390,100,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113001.mp3
113,Al-Falaq,1,Abdul Rahman Al Sudais,4,2360,3160,800,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113001.mp3
113,Al-Falaq,2,Abdul Rahman Al Sudais,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113002.mp3
113,Al-Falaq,2,Abdul Rahman Al Sudais,2,560,1160,600,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113002.mp3
113,Al-Falaq,2,Abdul Rahman Al Sudais,3,1290,1390,100,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113002.mp3
113,Al-Falaq,2,Abdul Rahman Al Sudais,4,1570,1670,100,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113002.mp3
113,Al-Falaq,3,Abdul Rahman Al Sudais,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113003.mp3
113,Al-Falaq,3,Abdul Rahman Al Sudais,2,840,1440,600,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113003.mp3
113,Al-Falaq,3,Abdul Rahman Al Sudais,3,1640,2440,800,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113003.mp3
113,Al-Falaq,3,Abdul Rahman Al Sudais,4,3000,3160,160,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113003.mp3
113,Al-Falaq,3,Abdul Rahman Al Sudais,5,3400,4360,960,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113003.mp3
113,Al-Falaq,4,Abdul Rahman Al Sudais,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113004.mp3
113,Al-Falaq,4,Abdul Rahman Al Sudais,2,1000,1640,640,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113004.mp3
113,Al-Falaq,4,Abdul Rahman Al Sudais,3,2120,3560,1440,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113004.mp3
113,Al-Falaq,4,Abdul Rahman Al Sudais,4,3770,3870,100,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113004.mp3
113,Al-Falaq,4,Abdul Rahman Al Sudais,5,4040,5120,1080,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113004.mp3
113,Al-Falaq,5,Abdul Rahman Al Sudais,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113005.mp3
113,Al-Falaq,5,Abdul Rahman Al Sudais,2,1040,1680,640,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113005.mp3
113,Al-Falaq,5,Abdul Rahman Al Sudais,3,1920,3000,1080,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113005.mp3
113,Al-Falaq,5,Abdul Rahman Al Sudais,4,3720,3880,160,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113005.mp3
113,Al-Falaq,5,Abdul Rahman Al Sudais,5,4200,5800,1600,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113005.mp3
