surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Khalifa Al Tunaiji,1,0,70,70,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113001.mp3
113,Al-Falaq,1,Khalifa Al Tunaiji,2,760,1480,720,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113001.mp3
113,Al-Falaq,1,Khalifa Al Tunaiji,3,1570,1670,100,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113001.mp3
113,Al-Falaq,1,Khalifa Al Tunaiji,4,2560,3840,1280,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113001.mp3
113,Al-Falaq,2,Khalifa Al Tunaiji,1,0,70,70,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113002.mp3
113,Al-Falaq,2,Khalifa Al Tunaiji,2,960,1640,680,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113002.mp3
113,Al-Falaq,2,Khalifa Al Tunaiji,3,1770,1870,100,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113002.mp3
113,Al-Falaq,2,Khalifa Al Tunaiji,4,2050,2150,100,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113002.mp3
113,Al-Falaq,3,Khalifa Al Tunaiji,1,0,70,70,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113003.mp3
113,Al-Falaq,3,Khalifa Al Tunaiji,2,1280,1920,640,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113003.mp3
113,Al-Falaq,3,Khalifa Al Tunaiji,3,2080,2760,680,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113003.mp3
113,Al-Falaq,3,Khalifa Al Tunaiji,4,3280,3440,160,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113003.mp3
113,Al-Falaq,3,Khalifa Al Tunaiji,5,3600,4840,1240,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113003.mp3
113,Al-Falaq,4,Khalifa Al Tunaiji,1,0,70,70,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113004.mp3
113,Al-Falaq,4,Khalifa Al Tunaiji,2,1200,1840,640,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113004.mp3
113,Al-Falaq,4,Khalifa Al Tunaiji,3,2360,3720,1360,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113004.mp3
113,Al-Falaq,4,Khalifa Al Tunaiji,4,3890,3990,100,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113004.mp3
113,Al-Falaq,4,Khalifa Al Tunaiji,5,4120,5520,1400,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113004.mp3
113,Al-Falaq,5,Khalifa Al Tunaiji,1,0,70,70,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113005.mp3
113,Al-Falaq,5,Khalifa Al Tunaiji,2,1160,1840,680,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113005.mp3
113,Al-Falaq,5,Khalifa Al Tunaiji,3,2000,2760,760,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113005.mp3
113,Al-Falaq,5,Khalifa Al Tunaiji,4,3240,3360,120,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113005.mp3
113,Al-Falaq,5,Khalifa Al Tunaiji,5,3560,4760,1200,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/113005.mp3
