surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Maher Al Mu Aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113001.mp3
113,Al-Falaq,1,Maher Al Mu Aiqly,2,240,800,560,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113001.mp3
113,Al-Falaq,1,Maher Al Mu Aiqly,3,850,950,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113001.mp3
113,Al-Falaq,1,Maher Al Mu Aiqly,4,1680,2480,800,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113001.mp3
113,Al-Falaq,2,Maher Al Mu Aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113002.mp3
113,Al-Falaq,2,Maher Al Mu Aiqly,2,600,1200,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113002.mp3
113,Al-Falaq,2,Maher Al Mu Aiqly,3,1290,1390,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113002.mp3
113,Al-Falaq,2,Maher Al Mu Aiqly,4,1530,1630,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113002.mp3
113,Al-Falaq,3,Maher Al Mu Aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113003.mp3
113,Al-Falaq,3,Maher Al Mu Aiqly,2,600,1120,520,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113003.mp3
113,Al-Falaq,3,Maher Al Mu Aiqly,3,1280,1880,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113003.mp3
113,Al-Falaq,3,Maher Al Mu Aiqly,4,2280,2400,120,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113003.mp3
113,Al-Falaq,3,Maher Al Mu Aiqly,5,2560,3320,760,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113003.mp3
113,Al-Falaq,4,Maher Al Mu Aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113004.mp3
113,Al-Falaq,4,Maher Al Mu Aiqly,2,720,1280,560,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113004.mp3
113,Al-Falaq,4,Maher Al Mu Aiqly,3,1520,2520,1000,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113004.mp3
113,Al-Falaq,4,Maher Al Mu Aiqly,4,2690,2790,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113004.mp3
113,Al-Falaq,4,Maher Al Mu Aiqly,5,2880,3840,960,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113004.mp3
113,Al-Falaq,5,Maher Al Mu Aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113005.mp3
113,Al-Falaq,5,Maher Al Mu Aiqly,2,720,1280,560,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113005.mp3
113,Al-Falaq,5,Maher Al Mu Aiqly,3,1440,2040,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113005.mp3
113,Al-Falaq,5,Maher Al Mu Aiqly,4,2480,2600,120,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113005.mp3
113,Al-Falaq,5,Maher Al Mu Aiqly,5,2760,3760,1000,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113005.mp3
