surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Mishary,1,0,560,560,https://audio-cdn.tarteel.ai/quran/alafasy/001001.mp3
1,Al-Fatiha,1,Mishary,2,760,1200,440,https://audio-cdn.tarteel.ai/quran/alafasy/001001.mp3
1,Al-Fatiha,1,Mishary,3,2000,2360,360,https://audio-cdn.tarteel.ai/quran/alafasy/001001.mp3
1,Al-Fatiha,1,Mishary,4,2680,6120,3440,https://audio-cdn.tarteel.ai/quran/alafasy/001001.mp3
1,Al-Fatiha,2,Mishary,1,360,840,480,https://audio-cdn.tarteel.ai/quran/alafasy/001002.mp3
1,Al-Fatiha,2,Mishary,2,1210,1310,100,https://audio-cdn.tarteel.ai/quran/alafasy/001002.mp3
1,Al-Fatiha,2,Mishary,3,2170,2270,100,https://audio-cdn.tarteel.ai/quran/alafasy/001002.mp3
1,Al-Fatiha,2,Mishary,4,2440,5640,3200,https://audio-cdn.tarteel.ai/quran/alafasy/001002.mp3
1,Al-Fatiha,3,Mishary,1,760,1120,360,https://audio-cdn.tarteel.ai/quran/alafasy/001003.mp3
1,Al-Fatiha,3,Mishary,2,1440,4680,3240,https://audio-cdn.tarteel.ai/quran/alafasy/001003.mp3
1,Al-Fatiha,4,Mishary,1,0,640,640,https://audio-cdn.tarteel.ai/quran/alafasy/001004.mp3
1,Al-Fatiha,4,Mishary,2,840,1280,440,https://audio-cdn.tarteel.ai/quran/alafasy/001004.mp3
1,Al-Fatiha,4,Mishary,3,1640,4680,3040,https://audio-cdn.tarteel.ai/quran/alafasy/001004.mp3
1,Al-Fatiha,5,Mishary,1,0,760,760,https://audio-cdn.tarteel.ai/quran/alafasy/001005.mp3
1,Al-Fatiha,5,Mishary,2,920,1680,760,https://audio-cdn.tarteel.ai/quran/alafasy/001005.mp3
1,Al-Fatiha,5,Mishary,3,1720,2640,920,https://audio-cdn.tarteel.ai/quran/alafasy/001005.mp3
1,Al-Fatiha,5,Mishary,4,2840,6760,3920,https://audio-cdn.tarteel.ai/quran/alafasy/001005.mp3
1,Al-Fatiha,6,Mishary,1,0,600,600,https://audio-cdn.tarteel.ai/quran/alafasy/001006.mp3
1,Al-Fatiha,6,Mishary,2,880,1520,640,https://audio-cdn.tarteel.ai/quran/alafasy/001006.mp3
1,Al-Fatiha,6,Mishary,3,1800,5640,3840,https://audio-cdn.tarteel.ai/quran/alafasy/001006.mp3
1,Al-Fatiha,7,Mishary,1,0,640,640,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,2,880,1280,400,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,3,1680,2480,800,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,4,2880,3280,400,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,5,3480,3600,120,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,6,4360,5200,840,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,7,5600,5960,360,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,8,6250,6350,100,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
1,Al-Fatiha,7,Mishary,9,6720,13280,6560,https://audio-cdn.tarteel.ai/quran/alafasy/001007.mp3
75,Al-Qiyamah,1,Mishary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/alafasy/075001.mp3
75,Al-Qiyamah,1,Mishary,2,2280,3240,960,https://audio-cdn.tarteel.ai/quran/alafasy/075001.mp3
