surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Mohamed Al Tablawi Recitation,1,500,840,340,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113001.mp3
113,Al-Falaq,1,Mohamed Al Tablawi Recitation,2,850,2060,1210,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113001.mp3
113,Al-Falaq,1,Mohamed Al Tablawi Recitation,3,2070,3390,1320,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113001.mp3
113,Al-Falaq,1,Mohamed Al Tablawi Recitation,4,3400,4820,1420,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113001.mp3
113,Al-Falaq,2,Mohamed Al Tablawi Recitation,1,710,1980,1270,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113002.mp3
113,Al-Falaq,2,Mohamed Al Tablawi Recitation,2,1990,3120,1130,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113002.mp3
113,Al-Falaq,2,Mohamed Al Tablawi Recitation,3,3130,3920,790,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113002.mp3
113,Al-Falaq,2,Mohamed Al Tablawi Recitation,4,3930,4860,930,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113002.mp3
113,Al-Falaq,3,Mohamed Al Tablawi Recitation,1,950,2430,1480,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113003.mp3
113,Al-Falaq,3,Mohamed Al Tablawi Recitation,2,2440,3490,1050,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113003.mp3
113,Al-Falaq,3,Mohamed Al Tablawi Recitation,3,3500,5630,2130,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113003.mp3
113,Al-Falaq,3,Mohamed Al Tablawi Recitation,4,5640,6900,1260,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113003.mp3
113,Al-Falaq,3,Mohamed Al Tablawi Recitation,5,6910,7950,1040,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113003.mp3
113,Al-Falaq,4,Mohamed Al Tablawi Recitation,1,550,2000,1450,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113004.mp3
113,Al-Falaq,4,Mohamed Al Tablawi Recitation,2,2010,3050,1040,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113004.mp3
113,Al-Falaq,4,Mohamed Al Tablawi Recitation,3,3060,6510,3450,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113004.mp3
113,Al-Falaq,4,Mohamed Al Tablawi Recitation,4,6520,6810,290,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113004.mp3
113,Al-Falaq,4,Mohamed Al Tablawi Recitation,5,6820,8200,1380,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113004.mp3
113,Al-Falaq,5,Mohamed Al Tablawi Recitation,1,600,2130,1530,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113005.mp3
113,Al-Falaq,5,Mohamed Al Tablawi Recitation,2,2140,3180,1040,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113005.mp3
113,Al-Falaq,5,Mohamed Al Tablawi Recitation,3,3190,5220,2030,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113005.mp3
113,Al-Falaq,5,Mohamed Al Tablawi Recitation,4,5230,6390,1160,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113005.mp3
113,Al-Falaq,5,Mohamed Al Tablawi Recitation,5,6400,7270,870,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113005.mp3
