surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Saad Al Ghamdi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/ghamadi/113001.mp3
113,Al-Falaq,1,Saad Al Ghamdi,2,320,1000,680,https://audio-cdn.tarteel.ai/quran/ghamadi/113001.mp3
113,Al-Falaq,1,Saad Al Ghamdi,3,1050,1150,100,https://audio-cdn.tarteel.ai/quran/ghamadi/113001.mp3
113,Al-Falaq,1,Saad Al Ghamdi,4,2000,3160,1160,https://audio-cdn.tarteel.ai/quran/ghamadi/113001.mp3
113,Al-Falaq,2,Saad Al Ghamdi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/ghamadi/113002.mp3
113,Al-Falaq,2,Saad Al Ghamdi,2,1080,1720,640,https://audio-cdn.tarteel.ai/quran/ghamadi/113002.mp3
113,Al-Falaq,2,Saad Al Ghamdi,3,1850,1950,100,https://audio-cdn.tarteel.ai/quran/ghamadi/113002.mp3
113,Al-Falaq,2,Saad Al Ghamdi,4,2130,2230,100,https://audio-cdn.tarteel.ai/quran/ghamadi/113002.mp3
113,Al-Falaq,3,Saad Al Ghamdi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/ghamadi/113003.mp3
113,Al-Falaq,3,Saad Al Ghamdi,2,1400,2040,640,https://audio-cdn.tarteel.ai/quran/ghamadi/113003.mp3
113,Al-Falaq,3,Saad Al Ghamdi,3,2240,2920,680,https://audio-cdn.tarteel.ai/quran/ghamadi/113003.mp3
113,Al-Falaq,3,Saad Al Ghamdi,4,3400,3560,160,https://audio-cdn.tarteel.ai/quran/ghamadi/113003.mp3
113,Al-Falaq,3,Saad Al Ghamdi,5,3760,4840,1080,https://audio-cdn.tarteel.ai/quran/ghamadi/113003.mp3
113,Al-Falaq,4,Saad Al Ghamdi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/ghamadi/113004.mp3
113,Al-Falaq,4,Saad Al Ghamdi,2,1080,1760,680,https://audio-cdn.tarteel.ai/quran/ghamadi/113004.mp3
113,Al-Falaq,4,Saad Al Ghamdi,3,2440,3840,1400,https://audio-cdn.tarteel.ai/quran/ghamadi/113004.mp3
113,Al-Falaq,4,Saad Al Ghamdi,4,4010,4110,100,https://audio-cdn.tarteel.ai/quran/ghamadi/113004.mp3
113,Al-Falaq,4,Saad Al Ghamdi,5,4240,5440,1200,https://audio-cdn.tarteel.ai/quran/ghamadi/113004.mp3
113,Al-Falaq,5,Saad Al Ghamdi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/ghamadi/113005.mp3
113,Al-Falaq,5,Saad Al Ghamdi,2,1360,2040,680,https://audio-cdn.tarteel.ai/quran/ghamadi/113005.mp3
113,Al-Falaq,5,Saad Al Ghamdi,3,2200,2920,720,https://audio-cdn.tarteel.ai/quran/ghamadi/113005.mp3
113,Al-Falaq,5,Saad Al Ghamdi,4,3400,3520,120,https://audio-cdn.tarteel.ai/quran/ghamadi/113005.mp3
113,Al-Falaq,5,Saad Al Ghamdi,5,3720,5000,1280,https://audio-cdn.tarteel.ai/quran/ghamadi/113005.mp3
