surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Abdul Basit,1,0,920,920,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001001.mp3
1,Al-Fatiha,1,Abdul Basit,2,1080,1440,360,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001001.mp3
1,Al-Fatiha,1,Abdul Basit,3,2120,2440,320,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001001.mp3
1,Al-Fatiha,1,Abdul Basit,4,2680,4360,1680,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001001.mp3
1,Al-Fatiha,2,Abdul Basit,1,1200,1600,400,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001002.mp3
1,Al-Fatiha,2,Abdul Basit,2,1930,2030,100,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001002.mp3
1,Al-Fatiha,2,Abdul Basit,3,2730,2830,100,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001002.mp3
1,Al-Fatiha,2,Abdul Basit,4,2960,5280,2320,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001002.mp3
1,Al-Fatiha,3,Abdul Basit,1,1480,1800,320,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001003.mp3
1,Al-Fatiha,3,Abdul Basit,2,2040,4000,1960,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001003.mp3
1,Al-Fatiha,4,Abdul Basit,1,0,1800,1800,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001004.mp3
1,Al-Fatiha,4,Abdul Basit,2,1960,2400,440,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001004.mp3
1,Al-Fatiha,4,Abdul Basit,3,2680,4520,1840,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001004.mp3
1,Al-Fatiha,5,Abdul Basit,1,0,1440,1440,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001005.mp3
1,Al-Fatiha,5,Abdul Basit,2,1600,2280,680,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001005.mp3
1,Al-Fatiha,5,Abdul Basit,3,2360,3200,840,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001005.mp3
1,Al-Fatiha,5,Abdul Basit,4,3400,5600,2200,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/001005.mp3
