surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Maher Al-Mu'aiqly,1,0,640,640,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001001.mp3
1,Al-Fatiha,1,Maher Al-Mu'aiqly,2,840,1280,440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001001.mp3
1,Al-Fatiha,1,Maher Al-Mu'aiqly,3,1960,2320,360,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001001.mp3
1,Al-Fatiha,1,Maher Al-Mu'aiqly,4,2560,3680,1120,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001001.mp3
1,Al-Fatiha,2,Maher Al-Mu'aiqly,1,0,280,280,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001002.mp3
1,Al-Fatiha,2,Maher Al-Mu'aiqly,2,530,630,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001002.mp3
1,Al-Fatiha,2,Maher Al-Mu'aiqly,3,1170,1270,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001002.mp3
1,Al-Fatiha,2,Maher Al-Mu'aiqly,4,1400,3360,1960,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001002.mp3
1,Al-Fatiha,3,Maher Al-Mu'aiqly,1,480,760,280,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001003.mp3
1,Al-Fatiha,3,Maher Al-Mu'aiqly,2,960,2640,1680,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001003.mp3
1,Al-Fatiha,4,Maher Al-Mu'aiqly,1,0,440,440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001004.mp3
1,Al-Fatiha,4,Maher Al-Mu'aiqly,2,600,960,360,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001004.mp3
1,Al-Fatiha,4,Maher Al-Mu'aiqly,3,1240,2960,1720,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001004.mp3
1,Al-Fatiha,5,Maher Al-Mu'aiqly,1,0,440,440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001005.mp3
1,Al-Fatiha,5,Maher Al-Mu'aiqly,2,600,1120,520,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001005.mp3
1,Al-Fatiha,5,Maher Al-Mu'aiqly,3,1120,1800,680,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001005.mp3
1,Al-Fatiha,5,Maher Al-Mu'aiqly,4,1960,3760,1800,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001005.mp3
1,Al-Fatiha,6,Maher Al-Mu'aiqly,1,0,480,480,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001006.mp3
1,Al-Fatiha,6,Maher Al-Mu'aiqly,2,680,1160,480,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001006.mp3
1,Al-Fatiha,6,Maher Al-Mu'aiqly,3,1360,2280,920,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001006.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,1,0,440,440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,2,640,920,280,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,3,1240,1840,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,4,2120,2440,320,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,5,2880,3000,120,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,6,3560,4160,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,7,4440,4720,280,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,8,4930,5030,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
1,Al-Fatiha,7,Maher Al-Mu'aiqly,9,5280,10240,4960,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/001007.mp3
82,Al-Infitar,1,Maher Al-Mu'aiqly,1,0,200,200,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082001.mp3
82,Al-Infitar,1,Maher Al-Mu'aiqly,2,400,2200,1800,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082001.mp3
82,Al-Infitar,1,Maher Al-Mu'aiqly,3,2480,3880,1400,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082001.mp3
82,Al-Infitar,2,Maher Al-Mu'aiqly,1,0,400,400,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082002.mp3
82,Al-Infitar,2,Maher Al-Mu'aiqly,2,520,1520,1000,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082002.mp3
82,Al-Infitar,2,Maher Al-Mu'aiqly,3,1720,2920,1200,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082002.mp3
82,Al-Infitar,3,Maher Al-Mu'aiqly,1,0,400,400,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082003.mp3
82,Al-Infitar,3,Maher Al-Mu'aiqly,2,520,1240,720,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082003.mp3
82,Al-Infitar,3,Maher Al-Mu'aiqly,3,1320,2400,1080,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082003.mp3
82,Al-Infitar,4,Maher Al-Mu'aiqly,1,0,440,440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082004.mp3
82,Al-Infitar,4,Maher Al-Mu'aiqly,2,680,1320,640,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082004.mp3
82,Al-Infitar,4,Maher Al-Mu'aiqly,3,1360,2440,1080,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082004.mp3
82,Al-Infitar,5,Maher Al-Mu'aiqly,1,0,600,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082005.mp3
82,Al-Infitar,5,Maher Al-Mu'aiqly,2,960,1160,200,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082005.mp3
82,Al-Infitar,5,Maher Al-Mu'aiqly,3,1450,1550,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082005.mp3
82,Al-Infitar,5,Maher Al-Mu'aiqly,4,1960,2800,840,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082005.mp3
82,Al-Infitar,5,Maher Al-Mu'aiqly,5,2920,4080,1160,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082005.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,2,40,2360,2320,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,3,2680,4280,1600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,4,4410,4510,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,5,4720,5360,640,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,6,5480,6200,720,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,6,Maher Al-Mu'aiqly,7,6320,7640,1320,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082006.mp3
82,Al-Infitar,7,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082007.mp3
82,Al-Infitar,7,Maher Al-Mu'aiqly,2,680,1360,680,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082007.mp3
82,Al-Infitar,7,Maher Al-Mu'aiqly,3,1520,2440,920,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082007.mp3
82,Al-Infitar,7,Maher Al-Mu'aiqly,4,2600,3680,1080,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082007.mp3
82,Al-Infitar,8,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082008.mp3
82,Al-Infitar,8,Maher Al-Mu'aiqly,2,960,1120,160,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082008.mp3
82,Al-Infitar,8,Maher Al-Mu'aiqly,3,1680,2400,720,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082008.mp3
82,Al-Infitar,8,Maher Al-Mu'aiqly,4,2650,2750,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082008.mp3
82,Al-Infitar,8,Maher Al-Mu'aiqly,5,3160,3360,200,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082008.mp3
82,Al-Infitar,8,Maher Al-Mu'aiqly,6,4760,5800,1040,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082008.mp3
82,Al-Infitar,9,Maher Al-Mu'aiqly,1,0,320,320,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082009.mp3
82,Al-Infitar,9,Maher Al-Mu'aiqly,2,450,550,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082009.mp3
82,Al-Infitar,9,Maher Al-Mu'aiqly,3,1120,1800,680,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082009.mp3
82,Al-Infitar,9,Maher Al-Mu'aiqly,4,2200,3920,1720,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082009.mp3
82,Al-Infitar,10,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082010.mp3
82,Al-Infitar,10,Maher Al-Mu'aiqly,2,1040,1400,360,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082010.mp3
82,Al-Infitar,10,Maher Al-Mu'aiqly,3,1640,3560,1920,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082010.mp3
82,Al-Infitar,11,Maher Al-Mu'aiqly,1,0,520,520,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082011.mp3
82,Al-Infitar,11,Maher Al-Mu'aiqly,2,1080,2440,1360,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082011.mp3
82,Al-Infitar,12,Maher Al-Mu'aiqly,1,490,590,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082012.mp3
82,Al-Infitar,12,Maher Al-Mu'aiqly,2,810,910,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082012.mp3
82,Al-Infitar,12,Maher Al-Mu'aiqly,3,1160,2800,1640,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082012.mp3
82,Al-Infitar,13,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082013.mp3
82,Al-Infitar,13,Maher Al-Mu'aiqly,2,720,1560,840,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082013.mp3
82,Al-Infitar,13,Maher Al-Mu'aiqly,3,1680,1880,200,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082013.mp3
82,Al-Infitar,13,Maher Al-Mu'aiqly,4,2200,3760,1560,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082013.mp3
82,Al-Infitar,14,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082014.mp3
82,Al-Infitar,14,Maher Al-Mu'aiqly,2,960,1720,760,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082014.mp3
82,Al-Infitar,14,Maher Al-Mu'aiqly,3,1840,2080,240,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082014.mp3
82,Al-Infitar,14,Maher Al-Mu'aiqly,4,2400,3880,1480,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082014.mp3
82,Al-Infitar,15,Maher Al-Mu'aiqly,1,0,880,880,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082015.mp3
82,Al-Infitar,15,Maher Al-Mu'aiqly,2,1090,1190,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082015.mp3
82,Al-Infitar,15,Maher Al-Mu'aiqly,3,1880,3200,1320,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082015.mp3
82,Al-Infitar,16,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082016.mp3
82,Al-Infitar,16,Maher Al-Mu'aiqly,2,360,480,120,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082016.mp3
82,Al-Infitar,16,Maher Al-Mu'aiqly,3,760,1160,400,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082016.mp3
82,Al-Infitar,16,Maher Al-Mu'aiqly,4,1440,4880,3440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082016.mp3
82,Al-Infitar,17,Maher Al-Mu'aiqly,1,0,70,70,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082017.mp3
82,Al-Infitar,17,Maher Al-Mu'aiqly,2,1960,2520,560,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082017.mp3
82,Al-Infitar,17,Maher Al-Mu'aiqly,3,2690,2790,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082017.mp3
82,Al-Infitar,17,Maher Al-Mu'aiqly,4,3040,3480,440,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082017.mp3
82,Al-Infitar,17,Maher Al-Mu'aiqly,5,3800,5360,1560,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082017.mp3
82,Al-Infitar,18,Maher Al-Mu'aiqly,1,0,680,680,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082018.mp3
82,Al-Infitar,18,Maher Al-Mu'aiqly,2,930,1030,100,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082018.mp3
82,Al-Infitar,18,Maher Al-Mu'aiqly,3,2840,3440,600,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/082018.mp3
