surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Minshawi,1,0,840,840,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001001.mp3
1,Al-Fatiha,1,Minshawi,2,1040,1440,400,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001001.mp3
1,Al-Fatiha,1,Minshawi,3,2200,2560,360,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001001.mp3
1,Al-Fatiha,1,Minshawi,4,2880,4920,2040,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001001.mp3
1,Al-Fatiha,2,Minshawi,1,960,1480,520,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001002.mp3
1,Al-Fatiha,2,Minshawi,2,1890,1990,100,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001002.mp3
1,Al-Fatiha,2,Minshawi,3,2890,2990,100,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001002.mp3
1,Al-Fatiha,2,Minshawi,4,3200,5560,2360,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001002.mp3
1,Al-Fatiha,3,Minshawi,1,1400,1840,440,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001003.mp3
1,Al-Fatiha,3,Minshawi,2,2200,4320,2120,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001003.mp3
1,Al-Fatiha,4,Minshawi,1,0,1400,1400,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001004.mp3
1,Al-Fatiha,4,Minshawi,2,1600,2080,480,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001004.mp3
1,Al-Fatiha,4,Minshawi,3,2440,4080,1640,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001004.mp3
1,Al-Fatiha,5,Minshawi,1,0,1640,1640,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001005.mp3
1,Al-Fatiha,5,Minshawi,2,1880,2680,800,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001005.mp3
1,Al-Fatiha,5,Minshawi,3,2720,3760,1040,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001005.mp3
1,Al-Fatiha,5,Minshawi,4,4000,6200,2200,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001005.mp3
1,Al-Fatiha,6,Minshawi,1,0,1280,1280,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001006.mp3
1,Al-Fatiha,6,Minshawi,2,1600,2280,680,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001006.mp3
1,Al-Fatiha,6,Minshawi,3,2640,5000,2360,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001006.mp3
1,Al-Fatiha,7,Minshawi,1,0,1400,1400,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001007.mp3
1,Al-Fatiha,7,Minshawi,2,1720,2120,400,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001007.mp3
1,Al-Fatiha,7,Minshawi,3,2600,3520,920,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001007.mp3
1,Al-Fatiha,7,Minshawi,4,3960,4360,400,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001007.mp3
1,Al-Fatiha,7,Minshawi,5,4640,4760,120,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001007.mp3
1,Al-Fatiha,7,Minshawi,6,5600,6520,920,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/001007.mp3
