surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Abdur Rahman As Sudais Recitation,1,250,610,360,https://audio.qurancdn.com/Sudais/mp3/113001.mp3
113,Al-Falaq,1,Abdur Rahman As Sudais Recitation,2,620,1370,750,https://audio.qurancdn.com/Sudais/mp3/113001.mp3
113,Al-Falaq,1,Abdur Rahman As Sudais Recitation,3,1380,2220,840,https://audio.qurancdn.com/Sudais/mp3/113001.mp3
113,Al-Falaq,1,Abdur Rahman As Sudais Recitation,4,2230,3060,830,https://audio.qurancdn.com/Sudais/mp3/113001.mp3
113,Al-Falaq,2,Abdur Rahman As Sudais Recitation,1,40,700,660,https://audio.qurancdn.com/Sudais/mp3/113002.mp3
113,Al-Falaq,2,Abdur Rahman As Sudais Recitation,2,710,1370,660,https://audio.qurancdn.com/Sudais/mp3/113002.mp3
113,Al-Falaq,2,Abdur Rahman As Sudais Recitation,3,1380,1700,320,https://audio.qurancdn.com/Sudais/mp3/113002.mp3
113,Al-Falaq,2,Abdur Rahman As Sudais Recitation,4,1710,2610,900,https://audio.qurancdn.com/Sudais/mp3/113002.mp3
113,Al-Falaq,3,Abdur Rahman As Sudais Recitation,1,140,980,840,https://audio.qurancdn.com/Sudais/mp3/113003.mp3
113,Al-Falaq,3,Abdur Rahman As Sudais Recitation,2,990,1630,640,https://audio.qurancdn.com/Sudais/mp3/113003.mp3
113,Al-Falaq,3,Abdur Rahman As Sudais Recitation,3,1640,2840,1200,https://audio.qurancdn.com/Sudais/mp3/113003.mp3
113,Al-Falaq,3,Abdur Rahman As Sudais Recitation,4,2850,3480,630,https://audio.qurancdn.com/Sudais/mp3/113003.mp3
113,Al-Falaq,3,Abdur Rahman As Sudais Recitation,5,3490,4280,790,https://audio.qurancdn.com/Sudais/mp3/113003.mp3
113,Al-Falaq,4,Abdur Rahman As Sudais Recitation,1,300,1170,870,https://audio.qurancdn.com/Sudais/mp3/113004.mp3
113,Al-Falaq,4,Abdur Rahman As Sudais Recitation,2,1180,1910,730,https://audio.qurancdn.com/Sudais/mp3/113004.mp3
113,Al-Falaq,4,Abdur Rahman As Sudais Recitation,3,1920,3860,1940,https://audio.qurancdn.com/Sudais/mp3/113004.mp3
113,Al-Falaq,4,Abdur Rahman As Sudais Recitation,4,3870,4080,210,https://audio.qurancdn.com/Sudais/mp3/113004.mp3
113,Al-Falaq,4,Abdur Rahman As Sudais Recitation,5,4090,4990,900,https://audio.qurancdn.com/Sudais/mp3/113004.mp3
113,Al-Falaq,5,Abdur Rahman As Sudais Recitation,1,30,1200,1170,https://audio.qurancdn.com/Sudais/mp3/113005.mp3
113,Al-Falaq,5,Abdur Rahman As Sudais Recitation,2,1210,1910,700,https://audio.qurancdn.com/Sudais/mp3/113005.mp3
113,Al-Falaq,5,Abdur Rahman As Sudais Recitation,3,1920,3490,1570,https://audio.qurancdn.com/Sudais/mp3/113005.mp3
113,Al-Falaq,5,Abdur Rahman As Sudais Recitation,4,3500,4330,830,https://audio.qurancdn.com/Sudais/mp3/113005.mp3
113,Al-Falaq,5,Abdur Rahman As Sudais Recitation,5,4340,5270,930,https://audio.qurancdn.com/Sudais/mp3/113005.mp3
