surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Hani Ar Rifai Recitation,1,0,1120,1120,https://audio.qurancdn.com/Rifai/mp3/113001.mp3
113,Al-Falaq,1,Hani Ar Rifai Recitation,2,1130,2000,870,https://audio.qurancdn.com/Rifai/mp3/113001.mp3
113,Al-Falaq,1,Hani Ar Rifai Recitation,3,2010,2850,840,https://audio.qurancdn.com/Rifai/mp3/113001.mp3
113,Al-Falaq,1,Hani Ar Rifai Recitation,4,2860,3730,870,https://audio.qurancdn.com/Rifai/mp3/113001.mp3
113,Al-Falaq,2,Hani Ar Rifai Recitation,1,70,980,910,https://audio.qurancdn.com/Rifai/mp3/113002.mp3
113,Al-Falaq,2,Hani Ar Rifai Recitation,2,990,1710,720,https://audio.qurancdn.com/Rifai/mp3/113002.mp3
113,Al-Falaq,2,Hani Ar Rifai Recitation,3,1720,2140,420,https://audio.qurancdn.com/Rifai/mp3/113002.mp3
113,Al-Falaq,2,Hani Ar Rifai Recitation,4,2150,2770,620,https://audio.qurancdn.com/Rifai/mp3/113002.mp3
113,Al-Falaq,3,Hani Ar Rifai Recitation,1,30,1130,1100,https://audio.qurancdn.com/Rifai/mp3/113003.mp3
113,Al-Falaq,3,Hani Ar Rifai Recitation,2,1140,1840,700,https://audio.qurancdn.com/Rifai/mp3/113003.mp3
113,Al-Falaq,3,Hani Ar Rifai Recitation,3,1850,3130,1280,https://audio.qurancdn.com/Rifai/mp3/113003.mp3
113,Al-Falaq,3,Hani Ar Rifai Recitation,4,3140,3700,560,https://audio.qurancdn.com/Rifai/mp3/113003.mp3
113,Al-Falaq,3,Hani Ar Rifai Recitation,5,3710,4260,550,https://audio.qurancdn.com/Rifai/mp3/113003.mp3
113,Al-Falaq,4,Hani Ar Rifai Recitation,1,250,1210,960,https://audio.qurancdn.com/Rifai/mp3/113004.mp3
113,Al-Falaq,4,Hani Ar Rifai Recitation,2,1220,1950,730,https://audio.qurancdn.com/Rifai/mp3/113004.mp3
113,Al-Falaq,4,Hani Ar Rifai Recitation,3,1960,4200,2240,https://audio.qurancdn.com/Rifai/mp3/113004.mp3
113,Al-Falaq,4,Hani Ar Rifai Recitation,4,4210,4470,260,https://audio.qurancdn.com/Rifai/mp3/113004.mp3
113,Al-Falaq,4,Hani Ar Rifai Recitation,5,4480,5390,910,https://audio.qurancdn.com/Rifai/mp3/113004.mp3
113,Al-Falaq,5,Hani Ar Rifai Recitation,1,240,1010,770,https://audio.qurancdn.com/Rifai/mp3/113005.mp3
113,Al-Falaq,5,Hani Ar Rifai Recitation,2,1020,1780,760,https://audio.qurancdn.com/Rifai/mp3/113005.mp3
113,Al-Falaq,5,Hani Ar Rifai Recitation,3,1790,3000,1210,https://audio.qurancdn.com/Rifai/mp3/113005.mp3
113,Al-Falaq,5,Hani Ar Rifai Recitation,4,3010,3780,770,https://audio.qurancdn.com/Rifai/mp3/113005.mp3
113,Al-Falaq,5,Hani Ar Rifai Recitation,5,3790,4460,670,https://audio.qurancdn.com/Rifai/mp3/113005.mp3
