surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Muhammad Siddiq Al Minshawi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113001.mp3
113,Al-Falaq,1,Muhammad Siddiq Al Minshawi,2,640,1480,840,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113001.mp3
113,Al-Falaq,1,Muhammad Siddiq Al Minshawi,3,1610,1710,100,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113001.mp3
113,Al-Falaq,1,Muhammad Siddiq Al Minshawi,4,2800,4120,1320,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113001.mp3
113,Al-Falaq,2,Muhammad Siddiq Al Minshawi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113002.mp3
113,Al-Falaq,2,Muhammad Siddiq Al Minshawi,2,960,1680,720,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113002.mp3
113,Al-Falaq,2,Muhammad Siddiq Al Minshawi,3,1850,1950,100,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113002.mp3
113,Al-Falaq,2,Muhammad Siddiq Al Minshawi,4,2210,2310,100,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113002.mp3
113,Al-Falaq,3,Muhammad Siddiq Al Minshawi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113003.mp3
113,Al-Falaq,3,Muhammad Siddiq Al Minshawi,2,1120,1840,720,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113003.mp3
113,Al-Falaq,3,Muhammad Siddiq Al Minshawi,3,2080,2960,880,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113003.mp3
113,Al-Falaq,3,Muhammad Siddiq Al Minshawi,4,3600,3800,200,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113003.mp3
113,Al-Falaq,3,Muhammad Siddiq Al Minshawi,5,4080,5440,1360,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113003.mp3
113,Al-Falaq,4,Muhammad Siddiq Al Minshawi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113004.mp3
113,Al-Falaq,4,Muhammad Siddiq Al Minshawi,2,1200,1920,720,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113004.mp3
113,Al-Falaq,4,Muhammad Siddiq Al Minshawi,3,2680,4400,1720,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113004.mp3
113,Al-Falaq,4,Muhammad Siddiq Al Minshawi,4,4650,4750,100,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113004.mp3
113,Al-Falaq,4,Muhammad Siddiq Al Minshawi,5,4960,6560,1600,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113004.mp3
113,Al-Falaq,5,Muhammad Siddiq Al Minshawi,1,0,70,70,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113005.mp3
113,Al-Falaq,5,Muhammad Siddiq Al Minshawi,2,1040,1760,720,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113005.mp3
113,Al-Falaq,5,Muhammad Siddiq Al Minshawi,3,1960,2880,920,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113005.mp3
113,Al-Falaq,5,Muhammad Siddiq Al Minshawi,4,3520,3680,160,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113005.mp3
113,Al-Falaq,5,Muhammad Siddiq Al Minshawi,5,3960,5240,1280,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113005.mp3
