reciter,surah_number,surah_name,ayah_number,audio_url,segment_number,start_time,end_time,duration
abdul-basit-abdul-samad-mujawwad-hafs-949,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/abdulBasitMujawwad/113001.mp3,4,5520,7760,2240
abdul-basit-abdul-samad-mujawwad-hafs-949,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/abdulBasitMujawwad/113002.mp3,4,5490,5590,100
abdul-basit-abdul-samad-mujawwad-hafs-949,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/abdulBasitMujawwad/084016.mp3,3,5600,8560,2960
abdul-basit-abdul-samad-mujawwad-hafs-949,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/abdulBasitMujawwad/084017.mp3,3,4720,5680,960
abdul-basit-abdul-samad-mujawwad-hafs-949,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/abdulBasitMujawwad/084018.mp3,3,4160,5560,1400
abdul-basit-abdul-samad-mujawwad-hafs-949,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/abdulBasitMujawwad/084019.mp3,4,8039,9999,1960
abdul-basit-abdul-samad-murattal-hafs-950,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113001.mp3,4,2960,4200,1240
abdul-basit-abdul-samad-murattal-hafs-950,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/113002.mp3,4,2290,2390,100
abdul-basit-abdul-samad-murattal-hafs-950,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/084016.mp3,3,3040,4680,1640
abdul-basit-abdul-samad-murattal-hafs-950,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/084017.mp3,3,1880,2560,680
abdul-basit-abdul-samad-murattal-hafs-950,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/084018.mp3,3,1720,2640,920
abdul-basit-abdul-samad-murattal-hafs-950,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/abdulBasitMurattal/084019.mp3,4,4640,5880,1240
abdul-rahman-al-sudais-murattal-hafs-951,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113001.mp3,4,2360,3160,800
abdul-rahman-al-sudais-murattal-hafs-951,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/113002.mp3,4,1570,1670,100
abdul-rahman-al-sudais-murattal-hafs-951,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/084016.mp3,3,1480,2520,1040
abdul-rahman-al-sudais-murattal-hafs-951,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/084017.mp3,3,1240,1760,520
abdul-rahman-al-sudais-murattal-hafs-951,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/084018.mp3,3,1080,1800,720
abdul-rahman-al-sudais-murattal-hafs-951,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/abdulrahmanAlSudais/084019.mp3,4,3320,4520,1200
abu-bakr-al-shatri-murattal-hafs-952,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113001.mp3,4,2040,3160,1120
abu-bakr-al-shatri-murattal-hafs-952,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113002.mp3,4,1570,1670,100
abu-bakr-al-shatri-murattal-hafs-952,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/084016.mp3,3,2240,3840,1600
abu-bakr-al-shatri-murattal-hafs-952,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/084017.mp3,3,1640,2320,680
abu-bakr-al-shatri-murattal-hafs-952,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/084018.mp3,3,1400,2280,880
abu-bakr-al-shatri-murattal-hafs-952,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/084019.mp3,4,3360,4640,1280
