surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Abu Bakr Al Shatri,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113001.mp3
113,Al-Falaq,1,Abu Bakr Al Shatri,2,360,1040,680,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113001.mp3
113,Al-Falaq,1,Abu Bakr Al Shatri,3,1090,1190,100,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113001.mp3
113,Al-Falaq,1,Abu Bakr Al Shatri,4,2040,3160,1120,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113001.mp3
113,Al-Falaq,2,Abu Bakr Al Shatri,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113002.mp3
113,Al-Falaq,2,Abu Bakr Al Shatri,2,560,1160,600,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113002.mp3
113,Al-Falaq,2,Abu Bakr Al Shatri,3,1290,1390,100,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113002.mp3
113,Al-Falaq,2,Abu Bakr Al Shatri,4,1570,1670,100,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113002.mp3
113,Al-Falaq,3,Abu Bakr Al Shatri,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113003.mp3
113,Al-Falaq,3,Abu Bakr Al Shatri,2,720,1320,600,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113003.mp3
113,Al-Falaq,3,Abu Bakr Al Shatri,3,1480,2160,680,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113003.mp3
113,Al-Falaq,3,Abu Bakr Al Shatri,4,2680,2840,160,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113003.mp3
113,Al-Falaq,3,Abu Bakr Al Shatri,5,3040,4240,1200,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113003.mp3
113,Al-Falaq,4,Abu Bakr Al Shatri,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113004.mp3
113,Al-Falaq,4,Abu Bakr Al Shatri,2,840,1480,640,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113004.mp3
113,Al-Falaq,4,Abu Bakr Al Shatri,3,2040,3400,1360,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113004.mp3
113,Al-Falaq,4,Abu Bakr Al Shatri,4,3590,3690,100,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113004.mp3
113,Al-Falaq,4,Abu Bakr Al Shatri,5,3800,5080,1280,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113004.mp3
113,Al-Falaq,5,Abu Bakr Al Shatri,1,0,70,70,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113005.mp3
113,Al-Falaq,5,Abu Bakr Al Shatri,2,760,1360,600,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113005.mp3
113,Al-Falaq,5,Abu Bakr Al Shatri,3,1520,2280,760,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113005.mp3
113,Al-Falaq,5,Abu Bakr Al Shatri,4,2720,2880,160,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113005.mp3
113,Al-Falaq,5,Abu Bakr Al Shatri,5,3080,4520,1440,https://audio-cdn.tarteel.ai/quran/abuBakrAlShatri/113005.mp3
