surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Husary,1,0,480,480,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,1,Husary,2,600,1000,400,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,1,Husary,3,1800,2160,360,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,1,Husary,4,2480,5160,2680,https://audio-cdn.tarteel.ai/quran/husary/001001.mp3
1,Al-Fatiha,2,Husary,1,800,1240,440,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,2,Husary,2,1570,1670,100,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,2,Husary,3,2530,2630,100,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,2,Husary,4,2800,6240,3440,https://audio-cdn.tarteel.ai/quran/husary/001002.mp3
1,Al-Fatiha,3,Husary,1,800,1200,400,https://audio-cdn.tarteel.ai/quran/husary/001003.mp3
1,Al-Fatiha,3,Husary,2,1520,4480,2960,https://audio-cdn.tarteel.ai/quran/husary/001003.mp3
1,Al-Fatiha,4,Husary,1,0,720,720,https://audio-cdn.tarteel.ai/quran/husary/001004.mp3
1,Al-Fatiha,4,Husary,2,920,1440,520,https://audio-cdn.tarteel.ai/quran/husary/001004.mp3
1,Al-Fatiha,4,Husary,3,1840,4600,2760,https://audio-cdn.tarteel.ai/quran/husary/001004.mp3
1,Al-Fatiha,5,Husary,1,0,1000,1000,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,5,Husary,2,1200,2000,800,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,5,Husary,3,2080,3160,1080,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,5,Husary,4,3400,6800,3400,https://audio-cdn.tarteel.ai/quran/husary/001005.mp3
1,Al-Fatiha,6,Husary,1,0,680,680,https://audio-cdn.tarteel.ai/quran/husary/001006.mp3
1,Al-Fatiha,6,Husary,2,1000,1640,640,https://audio-cdn.tarteel.ai/quran/husary/001006.mp3
1,Al-Fatiha,6,Husary,3,2040,5320,3280,https://audio-cdn.tarteel.ai/quran/husary/001006.mp3
1,Al-Fatiha,7,Husary,1,0,960,960,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,2,1240,1640,400,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,3,2000,2840,840,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,4,3320,3720,400,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,5,4000,4120,120,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,6,5040,6000,960,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,7,6440,6880,440,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,8,7170,7270,100,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
1,Al-Fatiha,7,Husary,9,7720,14920,7200,https://audio-cdn.tarteel.ai/quran/husary/001007.mp3
75,Al-Qiyamah,1,Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husary/075001.mp3
75,Al-Qiyamah,1,Husary,2,1600,2600,1000,https://audio-cdn.tarteel.ai/quran/husary/075001.mp3
75,Al-Qiyamah,1,Husary,3,2800,3480,680,https://audio-cdn.tarteel.ai/quran/husary/075001.mp3
75,Al-Qiyamah,1,Husary,4,4650,4750,100,https://audio-cdn.tarteel.ai/quran/husary/075001.mp3
75,Al-Qiyamah,2,Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husary/075002.mp3
75,Al-Qiyamah,2,Husary,2,1480,2480,1000,https://audio-cdn.tarteel.ai/quran/husary/075002.mp3
75,Al-Qiyamah,2,Husary,3,2680,4240,1560,https://audio-cdn.tarteel.ai/quran/husary/075002.mp3
75,Al-Qiyamah,2,Husary,4,4400,7400,3000,https://audio-cdn.tarteel.ai/quran/husary/075002.mp3
75,Al-Qiyamah,3,Husary,1,0,1040,1040,https://audio-cdn.tarteel.ai/quran/husary/075003.mp3
75,Al-Qiyamah,3,Husary,2,1400,2920,1520,https://audio-cdn.tarteel.ai/quran/husary/075003.mp3
75,Al-Qiyamah,3,Husary,3,3200,4120,920,https://audio-cdn.tarteel.ai/quran/husary/075003.mp3
75,Al-Qiyamah,3,Husary,4,4480,5520,1040,https://audio-cdn.tarteel.ai/quran/husary/075003.mp3
75,Al-Qiyamah,3,Husary,5,5720,7880,2160,https://audio-cdn.tarteel.ai/quran/husary/075003.mp3
75,Al-Qiyamah,4,Husary,1,0,600,600,https://audio-cdn.tarteel.ai/quran/husary/075004.mp3
75,Al-Qiyamah,4,Husary,2,840,2040,1200,https://audio-cdn.tarteel.ai/quran/husary/075004.mp3
75,Al-Qiyamah,4,Husary,3,2560,2960,400,https://audio-cdn.tarteel.ai/quran/husary/075004.mp3
75,Al-Qiyamah,4,Husary,4,3970,4070,100,https://audio-cdn.tarteel.ai/quran/husary/075004.mp3
75,Al-Qiyamah,4,Husary,5,5000,6400,1400,https://audio-cdn.tarteel.ai/quran/husary/075004.mp3
75,Al-Qiyamah,4,Husary,6,6560,10560,4000,https://audio-cdn.tarteel.ai/quran/husary/075004.mp3
