surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Mahmoud Khalil Al Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113001.mp3
113,Al-Falaq,1,Mahmoud Khalil Al Husary,2,520,1560,1040,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113001.mp3
113,Al-Falaq,1,Mahmoud Khalil Al Husary,3,1730,1830,100,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113001.mp3
113,Al-Falaq,1,Mahmoud Khalil Al Husary,4,3240,6360,3120,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113001.mp3
113,Al-Falaq,2,Mahmoud Khalil Al Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113002.mp3
113,Al-Falaq,2,Mahmoud Khalil Al Husary,2,1000,1800,800,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113002.mp3
113,Al-Falaq,2,Mahmoud Khalil Al Husary,3,2050,2150,100,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113002.mp3
113,Al-Falaq,2,Mahmoud Khalil Al Husary,4,2570,2670,100,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113002.mp3
113,Al-Falaq,3,Mahmoud Khalil Al Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113003.mp3
113,Al-Falaq,3,Mahmoud Khalil Al Husary,2,1160,1920,760,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113003.mp3
113,Al-Falaq,3,Mahmoud Khalil Al Husary,3,2160,3240,1080,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113003.mp3
113,Al-Falaq,3,Mahmoud Khalil Al Husary,4,4040,4240,200,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113003.mp3
113,Al-Falaq,3,Mahmoud Khalil Al Husary,5,4680,7720,3040,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113003.mp3
113,Al-Falaq,4,Mahmoud Khalil Al Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113004.mp3
113,Al-Falaq,4,Mahmoud Khalil Al Husary,2,1080,1880,800,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113004.mp3
113,Al-Falaq,4,Mahmoud Khalil Al Husary,3,2520,4600,2080,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113004.mp3
113,Al-Falaq,4,Mahmoud Khalil Al Husary,4,4930,5030,100,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113004.mp3
113,Al-Falaq,4,Mahmoud Khalil Al Husary,5,5240,8560,3320,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113004.mp3
113,Al-Falaq,5,Mahmoud Khalil Al Husary,1,0,70,70,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113005.mp3
113,Al-Falaq,5,Mahmoud Khalil Al Husary,2,1080,1880,800,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113005.mp3
113,Al-Falaq,5,Mahmoud Khalil Al Husary,3,2120,3080,960,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113005.mp3
113,Al-Falaq,5,Mahmoud Khalil Al Husary,4,3880,4040,160,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113005.mp3
113,Al-Falaq,5,Mahmoud Khalil Al Husary,5,4440,8840,4400,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113005.mp3
