surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Mishari Rashid Al Afasy,1,0,70,70,https://audio-cdn.tarteel.ai/quran/alafasy/113001.mp3
113,Al-Falaq,1,Mishari Rashid Al Afasy,2,400,1120,720,https://audio-cdn.tarteel.ai/quran/alafasy/113001.mp3
113,Al-Falaq,1,Mishari Rashid Al Afasy,3,1190,1290,100,https://audio-cdn.tarteel.ai/quran/alafasy/113001.mp3
113,Al-Falaq,1,Mishari Rashid Al Afasy,4,2240,3520,1280,https://audio-cdn.tarteel.ai/quran/alafasy/113001.mp3
113,Al-Falaq,2,Mishari Rashid Al Afasy,1,0,70,70,https://audio-cdn.tarteel.ai/quran/alafasy/113002.mp3
113,Al-Falaq,2,Mishari Rashid Al Afasy,2,1160,1840,680,https://audio-cdn.tarteel.ai/quran/alafasy/113002.mp3
113,Al-Falaq,2,Mishari Rashid Al Afasy,3,1970,2070,100,https://audio-cdn.tarteel.ai/quran/alafasy/113002.mp3
113,Al-Falaq,2,Mishari Rashid Al Afasy,4,2330,2430,100,https://audio-cdn.tarteel.ai/quran/alafasy/113002.mp3
113,Al-Falaq,3,Mishari Rashid Al Afasy,1,0,70,70,https://audio-cdn.tarteel.ai/quran/alafasy/113003.mp3
113,Al-Falaq,3,Mishari Rashid Al Afasy,2,1280,1960,680,https://audio-cdn.tarteel.ai/quran/alafasy/113003.mp3
113,Al-Falaq,3,Mishari Rashid Al Afasy,3,2160,2880,720,https://audio-cdn.tarteel.ai/quran/alafasy/113003.mp3
113,Al-Falaq,3,Mishari Rashid Al Afasy,4,3440,3600,160,https://audio-cdn.tarteel.ai/quran/alafasy/113003.mp3
113,Al-Falaq,3,Mishari Rashid Al Afasy,5,3800,5080,1280,https://audio-cdn.tarteel.ai/quran/alafasy/113003.mp3
113,Al-Falaq,4,Mishari Rashid Al Afasy,1,0,70,70,https://audio-cdn.tarteel.ai/quran/alafasy/113004.mp3
113,Al-Falaq,4,Mishari Rashid Al Afasy,2,1240,1960,720,https://audio-cdn.tarteel.ai/quran/alafasy/113004.mp3
113,Al-Falaq,4,Mishari Rashid Al Afasy,3,2640,4160,1520,https://audio-cdn.tarteel.ai/quran/alafasy/113004.mp3
113,Al-Falaq,4,Mishari Rashid Al Afasy,4,4370,4470,100,https://audio-cdn.tarteel.ai/quran/alafasy/113004.mp3
113,Al-Falaq,4,Mishari Rashid Al Afasy,5,4640,6040,1400,https://audio-cdn.tarteel.ai/quran/alafasy/113004.mp3
113,Al-Falaq,5,Mishari Rashid Al Afasy,1,0,70,70,https://audio-cdn.tarteel.ai/quran/alafasy/113005.mp3
113,Al-Falaq,5,Mishari Rashid Al Afasy,2,1120,1800,680,https://audio-cdn.tarteel.ai/quran/alafasy/113005.mp3
113,Al-Falaq,5,Mishari Rashid Al Afasy,3,2000,2800,800,https://audio-cdn.tarteel.ai/quran/alafasy/113005.mp3
113,Al-Falaq,5,Mishari Rashid Al Afasy,4,3320,3480,160,https://audio-cdn.tarteel.ai/quran/alafasy/113005.mp3
113,Al-Falaq,5,Mishari Rashid Al Afasy,5,3680,5720,2040,https://audio-cdn.tarteel.ai/quran/alafasy/113005.mp3
