surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,1,Saud Al Shuraim,1,0,70,70,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113001.mp3
113,Al-Falaq,1,Saud Al Shuraim,2,200,760,560,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113001.mp3
113,Al-Falaq,1,Saud Al Shuraim,3,770,870,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113001.mp3
113,Al-Falaq,1,Saud Al Shuraim,4,1560,2120,560,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113001.mp3
113,Al-Falaq,2,Saud Al Shuraim,1,0,70,70,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113002.mp3
113,Al-Falaq,2,Saud Al Shuraim,2,440,960,520,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113002.mp3
113,Al-Falaq,2,Saud Al Shuraim,3,1050,1150,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113002.mp3
113,Al-Falaq,2,Saud Al Shuraim,4,1290,1390,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113002.mp3
113,Al-Falaq,3,Saud Al Shuraim,1,0,70,70,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113003.mp3
113,Al-Falaq,3,Saud Al Shuraim,2,800,1280,480,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113003.mp3
113,Al-Falaq,3,Saud Al Shuraim,3,1440,2000,560,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113003.mp3
113,Al-Falaq,3,Saud Al Shuraim,4,2430,2530,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113003.mp3
113,Al-Falaq,3,Saud Al Shuraim,5,2680,3560,880,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113003.mp3
113,Al-Falaq,4,Saud Al Shuraim,1,0,70,70,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113004.mp3
113,Al-Falaq,4,Saud Al Shuraim,2,600,1160,560,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113004.mp3
113,Al-Falaq,4,Saud Al Shuraim,3,1480,2560,1080,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113004.mp3
113,Al-Falaq,4,Saud Al Shuraim,4,2690,2790,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113004.mp3
113,Al-Falaq,4,Saud Al Shuraim,5,2880,3920,1040,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113004.mp3
113,Al-Falaq,5,Saud Al Shuraim,1,0,70,70,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113005.mp3
113,Al-Falaq,5,Saud Al Shuraim,2,600,1080,480,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113005.mp3
113,Al-Falaq,5,Saud Al Shuraim,3,1240,1880,640,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113005.mp3
113,Al-Falaq,5,Saud Al Shuraim,4,2240,2360,120,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113005.mp3
113,Al-Falaq,5,Saud Al Shuraim,5,2520,3640,1120,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113005.mp3
