reciter,surah,ayah,start_time_ms,end_time_ms,duration_sec,output_file
abdul-basit-abdul-samad-mujawwad-hafs-949,113,1,5520,7760,2.24,abdul_basit_abdul_samad_mujawwad_hafs_949_s113a001_qalqalah.wav
abdul-basit-abdul-samad-mujawwad-hafs-949,113,2,5490,5590,0.1,abdul_basit_abdul_samad_mujawwad_hafs_949_s113a002_qalqalah.wav
abdul-basit-abdul-samad-mujawwad-hafs-949,84,16,5600,8560,2.96,abdul_basit_abdul_samad_mujawwad_hafs_949_s084a016_qalqalah.wav
abdul-basit-abdul-samad-mujawwad-hafs-949,84,17,4720,5680,0.96,abdul_basit_abdul_samad_mujawwad_hafs_949_s084a017_qalqalah.wav
abdul-basit-abdul-samad-mujawwad-hafs-949,84,18,4160,5560,1.4,abdul_basit_abdul_samad_mujawwad_hafs_949_s084a018_qalqalah.wav
abdul-basit-abdul-samad-mujawwad-hafs-949,84,19,8039,9999,1.96,abdul_basit_abdul_samad_mujawwad_hafs_949_s084a019_qalqalah.wav
abdul-basit-abdul-samad-murattal-hafs-950,113,1,2960,4200,1.24,abdul_basit_abdul_samad_murattal_hafs_950_s113a001_qalqalah.wav
abdul-basit-abdul-samad-murattal-hafs-950,113,2,2290,2390,0.1,abdul_basit_abdul_samad_murattal_hafs_950_s113a002_qalqalah.wav
abdul-basit-abdul-samad-murattal-hafs-950,84,16,3040,4680,1.64,abdul_basit_abdul_samad_murattal_hafs_950_s084a016_qalqalah.wav
abdul-basit-abdul-samad-murattal-hafs-950,84,17,1880,2560,0.68,abdul_basit_abdul_samad_murattal_hafs_950_s084a017_qalqalah.wav
abdul-basit-abdul-samad-murattal-hafs-950,84,18,1720,2640,0.92,abdul_basit_abdul_samad_murattal_hafs_950_s084a018_qalqalah.wav
abdul-basit-abdul-samad-murattal-hafs-950,84,19,4640,5880,1.24,abdul_basit_abdul_samad_murattal_hafs_950_s084a019_qalqalah.wav
abdul-rahman-al-sudais-murattal-hafs-951,113,1,2360,3160,0.8,abdul_rahman_al_sudais_murattal_hafs_951_s113a001_qalqalah.wav
abdul-rahman-al-sudais-murattal-hafs-951,113,2,1570,1670,0.1,abdul_rahman_al_sudais_murattal_hafs_951_s113a002_qalqalah.wav
abdul-rahman-al-sudais-murattal-hafs-951,84,16,1480,2520,1.04,abdul_rahman_al_sudais_murattal_hafs_951_s084a016_qalqalah.wav
abdul-rahman-al-sudais-murattal-hafs-951,84,17,1240,1760,0.52,abdul_rahman_al_sudais_murattal_hafs_951_s084a017_qalqalah.wav
abdul-rahman-al-sudais-murattal-hafs-951,84,18,1080,1800,0.72,abdul_rahman_al_sudais_murattal_hafs_951_s084a018_qalqalah.wav
abdul-rahman-al-sudais-murattal-hafs-951,84,19,3320,4520,1.2,abdul_rahman_al_sudais_murattal_hafs_951_s084a019_qalqalah.wav
abu-bakr-al-shatri-murattal-hafs-952,113,1,2040,3160,1.12,abu_bakr_al_shatri_murattal_hafs_952_s113a001_qalqalah.wav
abu-bakr-al-shatri-murattal-hafs-952,113,2,1570,1670,0.1,abu_bakr_al_shatri_murattal_hafs_952_s113a002_qalqalah.wav
abu-bakr-al-shatri-murattal-hafs-952,84,16,2240,3840,1.6,abu_bakr_al_shatri_murattal_hafs_952_s084a016_qalqalah.wav
abu-bakr-al-shatri-murattal-hafs-952,84,17,1640,2320,0.68,abu_bakr_al_shatri_murattal_hafs_952_s084a017_qalqalah.wav
abu-bakr-al-shatri-murattal-hafs-952,84,18,1400,2280,0.88,abu_bakr_al_shatri_murattal_hafs_952_s084a018_qalqalah.wav
abu-bakr-al-shatri-murattal-hafs-952,84,19,3360,4640,1.28,abu_bakr_al_shatri_murattal_hafs_952_s084a019_qalqalah.wav
hani-ar-rifai-recitation-murattal-hafs-68,113,1,2860,3730,0.87,hani_ar_rifai_recitation_murattal_hafs_68_s113a001_qalqalah.wav
hani-ar-rifai-recitation-murattal-hafs-68,113,2,2150,2770,0.62,hani_ar_rifai_recitation_murattal_hafs_68_s113a002_qalqalah.wav
hani-ar-rifai-recitation-murattal-hafs-68,84,16,2540,3490,0.95,hani_ar_rifai_recitation_murattal_hafs_68_s084a016_qalqalah.wav
hani-ar-rifai-recitation-murattal-hafs-68,84,17,1590,2140,0.55,hani_ar_rifai_recitation_murattal_hafs_68_s084a017_qalqalah.wav
hani-ar-rifai-recitation-murattal-hafs-68,84,18,1500,2410,0.91,hani_ar_rifai_recitation_murattal_hafs_68_s084a018_qalqalah.wav
hani-ar-rifai-recitation-murattal-hafs-68,84,19,3820,4430,0.61,hani_ar_rifai_recitation_murattal_hafs_68_s084a019_qalqalah.wav
khalifa-al-tunaiji-murattal-hafs-958,113,1,2560,3840,1.28,khalifa_al_tunaiji_murattal_hafs_958_s113a001_qalqalah.wav
khalifa-al-tunaiji-murattal-hafs-958,113,2,2050,2150,0.1,khalifa_al_tunaiji_murattal_hafs_958_s113a002_qalqalah.wav
khalifa-al-tunaiji-murattal-hafs-958,84,16,3040,4560,1.52,khalifa_al_tunaiji_murattal_hafs_958_s084a016_qalqalah.wav
khalifa-al-tunaiji-murattal-hafs-958,84,17,1920,2560,0.64,khalifa_al_tunaiji_murattal_hafs_958_s084a017_qalqalah.wav
khalifa-al-tunaiji-murattal-hafs-958,84,18,1680,2440,0.76,khalifa_al_tunaiji_murattal_hafs_958_s084a018_qalqalah.wav
khalifa-al-tunaiji-murattal-hafs-958,84,19,4320,5640,1.32,khalifa_al_tunaiji_murattal_hafs_958_s084a019_qalqalah.wav
maher-al-mu-aiqly-murattal-hafs-948,113,1,1680,2480,0.8,maher_al_mu_aiqly_murattal_hafs_948_s113a001_qalqalah.wav
maher-al-mu-aiqly-murattal-hafs-948,113,2,1530,1630,0.1,maher_al_mu_aiqly_murattal_hafs_948_s113a002_qalqalah.wav
