surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Yasser Al-Dosari,1,0,720,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,1,Yasser Al-Dosari,2,920,1280,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,1,Yasser Al-Dosari,3,1920,2240,320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,1,Yasser Al-Dosari,4,2440,3400,960,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001001.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,1,200,560,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,2,730,830,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,3,1530,1630,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,2,Yasser Al-Dosari,4,1800,6160,4360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001002.mp3
1,Al-Fatiha,3,Yasser Al-Dosari,1,880,1240,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001003.mp3
1,Al-Fatiha,3,Yasser Al-Dosari,2,1520,6840,5320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001003.mp3
1,Al-Fatiha,4,Yasser Al-Dosari,1,0,480,480,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001004.mp3
1,Al-Fatiha,4,Yasser Al-Dosari,2,640,1040,400,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001004.mp3
1,Al-Fatiha,4,Yasser Al-Dosari,3,1320,6240,4920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001004.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,1,0,520,520,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,2,680,1280,600,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,3,1320,2080,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,5,Yasser Al-Dosari,4,2240,6880,4640,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001005.mp3
1,Al-Fatiha,6,Yasser Al-Dosari,1,0,560,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001006.mp3
1,Al-Fatiha,6,Yasser Al-Dosari,2,760,1320,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001006.mp3
1,Al-Fatiha,6,Yasser Al-Dosari,3,1600,2640,1040,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001006.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,1,0,560,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,2,760,1080,320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,3,1440,2160,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,4,2520,3000,480,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,5,4080,4200,120,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,6,4920,5680,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,7,6040,6400,360,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,8,6610,6710,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
1,Al-Fatiha,7,Yasser Al-Dosari,9,7080,14880,7800,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/001007.mp3
75,Al-Qiyamah,1,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075001.mp3
75,Al-Qiyamah,1,Yasser Al-Dosari,2,3000,3920,920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075001.mp3
75,Al-Qiyamah,1,Yasser Al-Dosari,3,4040,4600,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075001.mp3
75,Al-Qiyamah,1,Yasser Al-Dosari,4,5610,5710,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075001.mp3
75,Al-Qiyamah,2,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075002.mp3
75,Al-Qiyamah,2,Yasser Al-Dosari,2,3000,3880,880,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075002.mp3
75,Al-Qiyamah,2,Yasser Al-Dosari,3,4000,5040,1040,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075002.mp3
75,Al-Qiyamah,2,Yasser Al-Dosari,4,5160,6920,1760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075002.mp3
75,Al-Qiyamah,3,Yasser Al-Dosari,1,0,760,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075003.mp3
75,Al-Qiyamah,3,Yasser Al-Dosari,2,1040,2240,1200,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075003.mp3
75,Al-Qiyamah,3,Yasser Al-Dosari,3,2440,3160,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075003.mp3
75,Al-Qiyamah,3,Yasser Al-Dosari,4,3520,4360,840,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075003.mp3
75,Al-Qiyamah,3,Yasser Al-Dosari,5,4520,5800,1280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075003.mp3
75,Al-Qiyamah,4,Yasser Al-Dosari,1,0,240,240,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075004.mp3
75,Al-Qiyamah,4,Yasser Al-Dosari,2,680,1560,880,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075004.mp3
75,Al-Qiyamah,4,Yasser Al-Dosari,3,1960,2240,280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075004.mp3
75,Al-Qiyamah,4,Yasser Al-Dosari,4,3570,3670,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075004.mp3
75,Al-Qiyamah,4,Yasser Al-Dosari,5,4080,5120,1040,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075004.mp3
75,Al-Qiyamah,4,Yasser Al-Dosari,6,5240,6520,1280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075004.mp3
75,Al-Qiyamah,5,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075005.mp3
75,Al-Qiyamah,5,Yasser Al-Dosari,2,330,430,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075005.mp3
75,Al-Qiyamah,5,Yasser Al-Dosari,3,1320,2760,1440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075005.mp3
75,Al-Qiyamah,5,Yasser Al-Dosari,4,2920,3720,800,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075005.mp3
75,Al-Qiyamah,5,Yasser Al-Dosari,5,3880,5080,1200,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075005.mp3
75,Al-Qiyamah,6,Yasser Al-Dosari,1,0,720,720,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075006.mp3
75,Al-Qiyamah,6,Yasser Al-Dosari,2,880,1560,680,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075006.mp3
75,Al-Qiyamah,6,Yasser Al-Dosari,3,1720,2160,440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075006.mp3
75,Al-Qiyamah,6,Yasser Al-Dosari,4,3050,3150,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075006.mp3
75,Al-Qiyamah,7,Yasser Al-Dosari,1,0,480,480,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075007.mp3
75,Al-Qiyamah,7,Yasser Al-Dosari,2,760,1320,560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075007.mp3
75,Al-Qiyamah,7,Yasser Al-Dosari,3,1640,2560,920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075007.mp3
75,Al-Qiyamah,8,Yasser Al-Dosari,1,0,600,600,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075008.mp3
75,Al-Qiyamah,8,Yasser Al-Dosari,2,960,1760,800,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075008.mp3
75,Al-Qiyamah,9,Yasser Al-Dosari,1,0,640,640,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075009.mp3
75,Al-Qiyamah,9,Yasser Al-Dosari,2,880,1320,440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075009.mp3
75,Al-Qiyamah,9,Yasser Al-Dosari,3,1840,2600,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075009.mp3
75,Al-Qiyamah,10,Yasser Al-Dosari,1,240,680,440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075010.mp3
75,Al-Qiyamah,10,Yasser Al-Dosari,2,960,3000,2040,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075010.mp3
75,Al-Qiyamah,10,Yasser Al-Dosari,3,3160,4120,960,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075010.mp3
75,Al-Qiyamah,10,Yasser Al-Dosari,4,4360,4800,440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075010.mp3
75,Al-Qiyamah,10,Yasser Al-Dosari,5,5120,6040,920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075010.mp3
75,Al-Qiyamah,11,Yasser Al-Dosari,1,0,440,440,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075011.mp3
75,Al-Qiyamah,11,Yasser Al-Dosari,2,810,910,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075011.mp3
75,Al-Qiyamah,11,Yasser Al-Dosari,3,1240,2200,960,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075011.mp3
75,Al-Qiyamah,12,Yasser Al-Dosari,1,0,200,200,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075012.mp3
75,Al-Qiyamah,12,Yasser Al-Dosari,2,720,1000,280,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075012.mp3
75,Al-Qiyamah,12,Yasser Al-Dosari,3,1160,2080,920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075012.mp3
75,Al-Qiyamah,12,Yasser Al-Dosari,4,2480,3720,1240,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075012.mp3
75,Al-Qiyamah,13,Yasser Al-Dosari,1,0,760,760,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075013.mp3
75,Al-Qiyamah,13,Yasser Al-Dosari,2,1040,3240,2200,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075013.mp3
75,Al-Qiyamah,13,Yasser Al-Dosari,3,3400,4320,920,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/075013.mp3
